50;320;0.0007965087890625
100;800;0.003996610641479492
150;1200;0.008479690551757813
200;2240;0.015150928497314453
250;2400;0.021343326568603514
300;2400;0.02770199775695801
350;2800;0.043886423110961914
400;3200;0.05500035285949707
450;3600;0.0660512924194336
500;5600;0.08492975234985352
550;6160;0.10995726585388184
600;6720;0.12438802719116211
650;6240;0.15157098770141603
700;6720;0.15750665664672853
750;6000;0.1688241481781006
800;6400;0.1981520652770996
850;10880;0.25291991233825684
900;14400;0.31158928871154784
